Which best describes you?,Do you currently use closed captions?,How helpful are closed captions for you?  (1 being least helpful and 5 being most helpful),Do you ever use lipreading or visual mouth cues to help understand speech?,Would seeing an animated mouth shape alongside captions help you understand pronunciation better?,Where would this be most useful to you?,Any other thoughts? (Optional)
APD,Always,5,Yes,Maybe,In-person learning,"You're doing great, I believe in you!"
Hearing impaired,Always,5,No,No,No need for lip reading since closed captions do the job. Lip reading is hard. ,
ESL Learner,Always,5,Yes,Yes,Zoom,
APD,Always,4,Sometimes,Maybe,YouTube,
Lipreading learner,Sometimes,3,Yes,Yes,In-person learning,
ESL Learner,Always,5,Sometimes,Yes,In-person learning,
Deaf,Always,5,Sometimes,Yes,TV Streaming,
ESL Learner,Always,5,Yes,Yes,Online Learning,
Deaf,Always,5,Yes,Yes,All of the above,
Lipreading learner,Rarely,3,Sometimes,Maybe,YouTube,
ADHD with auditory difficulties,Sometimes,1,No,No,Video calls like facetime,Captions are helpful but often wrong.
Mild hearing loss,Rarely,2,No,No,TV Streaming,
Deaf,Sometimes,3,Sometimes,Maybe,YouTube,
Hard of hearing,Always,5,Yes,Yes,Zoom,
APD,Rarely,3,Sometimes,Maybe,In-person learning,
Hard of hearing,Sometimes,4,Yes,Yes,YouTube,
ESL Learner,Sometimes,4,Yes,Yes,In-person learning,
Lipreading learner,Always,5,Yes,Yes,TV Streaming,
Hard of hearing,Always,5,Yes,Yes,Zoom,
Deaf,Always,5,Yes,Yes,YouTube,
